iter	Passed	Remaining
358	61484	109782
359	61664	109626
360	61836	109456
361	62007	109283
362	62171	109099
363	62323	108895
364	62477	108693
365	62647	108521
366	62821	108354
367	62983	108167
368	63143	107976
369	63317	107811
370	63475	107617
371	63633	107424
372	63797	107240
373	63953	107045
374	64111	106852
375	64280	106677
376	64443	106494
377	64610	106317
378	64751	106096
379	64938	105952
380	65116	105792
381	65272	105598
382	65460	105454
383	65626	105276
384	65787	105089
385	65957	104916
386	66125	104742
387	66275	104537
388	66430	104342
389	66574	104129
390	66743	103956
391	66915	103786
392	67078	103604
393	67249	103434
394	67407	103244
395	67563	103051
396	67737	102885
397	67891	102690
398	68049	102500
399	68195	102293
400	68360	102114
